               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,             0.02387,            0.034682,           0.0061469,             0.98621,             0.89831,              0.9285,             0.79612,            0.017959,            0.027494,             0.00563,            0.005941,            0.005941,            0.005941
                 125,            0.024273,            0.035388,           0.0058615,             0.97691,             0.90827,             0.92953,             0.79325,            0.018125,            0.027937,           0.0057667,            0.005908,            0.005908,            0.005908
                 126,            0.023397,            0.034158,           0.0056966,             0.98019,              0.9027,             0.93003,             0.79542,            0.017839,            0.027303,           0.0056054,            0.005875,            0.005875,            0.005875
                 127,            0.023792,            0.034167,           0.0061667,             0.97787,             0.90063,             0.92746,             0.79785,            0.017805,            0.027197,           0.0057337,            0.005842,            0.005842,            0.005842
                 128,            0.024537,            0.034291,           0.0060349,              0.9723,             0.90502,             0.92735,             0.79506,            0.017971,              0.0276,           0.0057849,            0.005809,            0.005809,            0.005809
                 129,            0.022936,            0.033654,           0.0057353,             0.98304,             0.89537,             0.92861,             0.79635,            0.017884,            0.027361,           0.0056828,            0.005776,            0.005776,            0.005776
                 130,            0.023591,            0.033872,           0.0057858,             0.98122,             0.90856,             0.92993,             0.79917,            0.017821,            0.027005,           0.0054953,            0.005743,            0.005743,            0.005743
                 131,            0.023756,            0.034843,           0.0056806,             0.98163,              0.9046,             0.93112,             0.80097,            0.017887,            0.027041,           0.0055524,             0.00571,             0.00571,             0.00571
                 132,            0.023576,            0.034423,           0.0057935,             0.98704,             0.89723,             0.93006,             0.80121,            0.017781,            0.027219,           0.0056498,            0.005677,            0.005677,            0.005677
                 133,            0.023299,            0.033799,           0.0055503,             0.98059,             0.90205,             0.92968,              0.7994,            0.017785,            0.027317,           0.0057527,            0.005644,            0.005644,            0.005644
                 134,            0.023943,            0.034371,           0.0059141,             0.98405,              0.9051,              0.9294,             0.79821,            0.017747,            0.027229,           0.0055453,            0.005611,            0.005611,            0.005611
                 135,            0.023494,            0.033955,           0.0058197,             0.98206,             0.89444,             0.92794,              0.7975,            0.017797,            0.027137,           0.0056481,            0.005578,            0.005578,            0.005578
                 136,            0.022816,            0.033304,           0.0053392,             0.98264,             0.90464,             0.92953,             0.80044,            0.017777,            0.027118,           0.0057155,            0.005545,            0.005545,            0.005545
                 137,            0.023325,            0.033997,           0.0054892,             0.98221,              0.9055,             0.93044,             0.80031,            0.017763,            0.026715,           0.0056608,            0.005512,            0.005512,            0.005512
                 138,            0.023246,            0.033736,            0.005755,             0.98209,             0.89888,             0.92829,              0.7979,            0.017779,            0.026878,           0.0055306,            0.005479,            0.005479,            0.005479
                 139,            0.023326,            0.034335,           0.0057081,             0.98599,             0.90317,             0.93002,             0.80112,            0.017843,            0.026706,           0.0054881,            0.005446,            0.005446,            0.005446
                 140,            0.022747,            0.033443,           0.0054269,             0.98427,             0.90142,             0.93056,             0.80025,            0.017738,            0.027148,           0.0054892,            0.005413,            0.005413,            0.005413
                 141,            0.022573,            0.034027,           0.0055134,             0.98192,             0.90486,             0.93203,             0.80243,            0.017641,            0.026865,           0.0054407,             0.00538,             0.00538,             0.00538
                 142,            0.022581,            0.033077,            0.005395,             0.98424,             0.90286,             0.93093,             0.80064,            0.017616,            0.026653,           0.0054696,            0.005347,            0.005347,            0.005347
                 143,            0.022603,            0.033351,           0.0054232,             0.98314,             0.90755,             0.93144,             0.80386,            0.017567,            0.026255,           0.0053362,            0.005314,            0.005314,            0.005314
                 144,             0.02255,             0.03323,           0.0051394,             0.98115,             0.90732,             0.93233,             0.80401,            0.017633,            0.026639,           0.0054412,            0.005281,            0.005281,            0.005281
